project,method,n,recall@5,recall@10,mrr,ndcg@10
CASSANDRA,bm25_knn,1921,0.1369078604893285,0.20614263404476835,0.08157912132404584,0.11079389275028306
CASSANDRA,component_owner,1921,0.11296199895887558,0.17699115044247787,0.055963122712211724,0.08398039072261167
CASSANDRA,popularity,1921,0.1290994273815721,0.15616866215512754,0.034941705295687596,0.06328820356406364
HADOOP,bm25_knn,1924,0.2001039501039501,0.24116424116424118,0.15455936705936704,0.1750381395004751
HADOOP,component_owner,1924,0.1761954261954262,0.2312889812889813,0.15152274527274529,0.17005395291188227
HADOOP,popularity,1924,0.13721413721413722,0.14553014553014554,0.06939391314391315,0.08899672757670546
JRASERVER,bm25_knn,856,0.14018691588785046,0.20093457943925233,0.0882968958611482,0.11453230810744654
JRASERVER,component_owner,856,0.0911214953271028,0.1530373831775701,0.07236639593532117,0.09076644276598923
JRASERVER,popularity,856,0.007009345794392523,0.05841121495327103,0.011431909212283042,0.021987518030985927
KAFKA,bm25_knn,1056,0.2481060606060606,0.3191287878787879,0.16812131734006733,0.20357070966863006
KAFKA,component_owner,1056,0.1875,0.30492424242424243,0.14762468434343434,0.18417843000612238
KAFKA,popularity,1056,0.11837121212121213,0.17708333333333334,0.10076020622895622,0.11859316162070462
SPARK,bm25_knn,4680,0.24893162393162394,0.3162393162393162,0.1806205060371727,0.21261016024282206
SPARK,component_owner,4680,0.14914529914529914,0.19957264957264959,0.08503213607380274,0.11198344602018695
SPARK,popularity,4680,0.03888888888888889,0.1797008547008547,0.037492029575362906,0.06959847201313045
