project_key,issue_count,resolved_count,min_created,max_created,instance,resolved_with_assignee,distinct_resolvers,top2_share
QTBUG,97172,77520,2003-09-23T11:25:00.000+0000,2022-01-04T14:52:39.000+0000,Qt,72832,1077,0.058
SERVER,58928,52972,2009-04-08T08:01:26.000+0000,2022-01-04T13:59:54.000+0000,MongoDB,48480,540,0.054
JRASERVER,47225,38678,2002-02-08T04:39:00.000+0000,2022-01-04T20:45:19.000+0000,Jira,10186,484,0.123
CONFSERVER,43910,37290,2003-06-02T06:45:32.000+0000,2022-01-04T19:49:53.000+0000,Jira,15995,445,0.257
SPARK,37443,35034,0010-04-03T23:04:00.000+0000,2022-01-05T11:37:21.000+0000,Apache,22489,1783,0.068
FLEX,35390,31564,2005-01-03T00:18:41.000+0000,2021-11-23T11:45:31.000+0000,Apache,30520,32,0.974
JRACLOUD,27916,22142,2002-03-21T01:22:50.000+0000,2022-01-05T10:02:27.000+0000,Jira,3638,615,0.155
JBIDE,27295,26045,2003-01-31T10:45:12.000+0000,2021-12-30T12:28:31.000+0000,RedHat,24512,138,0.19
HBASE,26421,22774,2007-02-27T16:51:17.000+0000,2022-01-05T20:00:44.000+0000,Apache,18703,876,0.161
HIVE,25731,18516,2008-09-03T22:48:33.000+0000,2022-01-05T08:55:42.000+0000,Apache,17204,828,0.086
FLINK,25492,21398,2014-06-08T16:28:31.000+0000,2022-01-05T16:12:00.000+0000,Apache,15903,926,0.14
AMBARI,25384,23305,2011-09-22T16:11:31.000+0000,2022-01-03T09:27:17.000+0000,Apache,22797,290,0.124
QTCREATORBUG,25249,21976,2007-07-05T11:32:00.000+0000,2022-01-04T15:32:16.000+0000,Qt,21862,221,0.201
CONFCLOUD,25115,20151,2003-09-19T17:35:18.000+0000,2022-01-05T11:56:30.000+0000,Jira,7106,569,0.226
BCLOUD,20352,17994,2008-06-13T12:35:48.000+0000,2022-01-04T18:18:57.000+0000,Jira,3647,126,0.417
SPR,17413,15938,2003-11-26T08:35:42.000+0000,2019-01-09T16:12:47.000+0000,Spring,14673,45,0.646
CAMEL,17391,16716,2007-04-18T16:06:05.000+0000,2022-01-05T12:00:00.000+0000,Apache,14551,117,0.613
CASSANDRA,17115,14816,2009-03-07T03:37:05.000+0000,2022-01-05T13:00:17.000+0000,Apache,11144,698,0.162
JBEAP,17102,16072,2013-01-22T10:29:16.000+0000,2022-01-03T16:31:18.000+0000,RedHat,15607,285,0.109
IGNITE,16194,11949,2014-11-14T17:46:23.000+0000,2022-01-03T08:18:10.000+0000,Apache,9840,296,0.143
HADOOP,15797,13217,2005-07-24T23:46:18.000+0000,2022-01-05T19:47:22.000+0000,Apache,10805,995,0.082
INFRA,15777,15663,2003-09-04T02:42:25.000+0000,2022-01-05T10:07:07.000+0000,Apache,12856,50,0.436
SOLR,15704,11785,2006-01-25T13:45:45.000+0000,2021-12-31T14:34:59.000+0000,Apache,8298,84,0.186
HDFS,15588,12328,2006-04-06T08:00:00.000+0000,2022-01-05T15:46:15.000+0000,Apache,10876,719,0.076
KEYCLOAK,15564,14556,2013-07-09T11:43:44.000+0000,2021-12-30T03:10:58.000+0000,RedHat,8166,132,0.285
ARROW,15128,12866,2016-02-16T22:43:14.000+0000,2022-01-05T23:07:48.000+0000,Apache,10912,572,0.212
BAM,14625,12416,2006-04-06T23:43:22.000+0000,2022-01-05T13:14:17.000+0000,Jira,4253,113,0.273
CB,14007,12862,2011-10-25T13:25:58.000+0000,2018-08-16T04:19:24.000+0000,Apache,9336,117,0.269
DOCS,13871,12515,2009-05-26T15:52:37.000+0000,2022-01-03T15:52:35.000+0000,MongoDB,10257,158,0.455
BEAM,13597,9189,2016-02-02T15:34:07.000+0000,2022-01-05T20:56:36.000+0000,Apache,7745,527,0.08
ENTESB,13529,13077,2011-01-21T22:00:31.000+0000,2022-01-04T17:28:30.000+0000,RedHat,10646,207,0.204
JSWSERVER,13273,10928,2007-06-14T06:25:23.000+0000,2022-01-04T10:17:46.000+0000,Jira,1561,180,0.321
WFLY,12984,11679,2008-12-18T05:22:47.000+0000,2022-01-04T17:24:08.000+0000,RedHat,11321,254,0.177
ISPN,12829,11012,2009-03-03T10:56:12.000+0000,2022-01-04T17:23:41.000+0000,RedHat,10419,106,0.24
JSWCLOUD,12733,10029,2007-06-14T06:25:23.000+0000,2022-01-04T19:50:34.000+0000,Jira,1180,247,0.181
EVG,12546,11384,2013-04-10T15:09:14.000+0000,2021-12-31T18:56:16.000+0000,MongoDB,9839,75,0.336
OFBIZ,12470,10955,2006-05-21T01:19:22.000+0000,2022-01-05T08:14:14.000+0000,Apache,9624,110,0.397
KAFKA,12312,8682,2011-07-19T21:32:09.000+0000,2022-01-05T08:35:14.000+0000,Apache,6622,601,0.101
IMPALA,11031,8869,2012-10-30T17:45:03.000+0000,2022-01-05T00:11:54.000+0000,Apache,7227,192,0.178
SLING,11011,9936,2007-09-11T07:28:01.000+0000,2022-01-05T12:33:47.000+0000,Apache,9038,54,0.321
YARN,10769,7806,2009-03-26T23:44:11.000+0000,2022-01-05T14:13:13.000+0000,Apache,6967,479,0.068
LUCENE,10313,8442,2001-10-09T16:19:16.000+0000,2022-01-05T13:14:24.000+0000,Apache,5401,87,0.303
MESOS,10197,7148,2011-02-16T23:12:40.000+0000,2021-12-23T06:06:38.000+0000,Apache,5924,235,0.122
GROOVY,10187,8898,2003-09-25T17:39:46.000+0000,2022-01-05T20:41:40.000+0000,Apache,7653,67,0.475
GEODE,9905,8052,2015-05-05T23:33:07.000+0000,2022-01-05T21:06:37.000+0000,Apache,5588,106,0.164
AEROGEAR,9715,9471,2011-10-31T15:51:53.000+0000,2021-02-09T08:59:43.000+0000,RedHat,5774,97,0.118
SRCTREEWIN,9646,5199,2012-09-26T11:49:35.000+0000,2022-01-04T09:13:21.000+0000,Jira,1902,9,0.927
OAK,9612,8810,2012-03-06T12:48:50.000+0000,2022-01-05T16:19:25.000+0000,Apache,7307,43,0.256
NIFI,9499,6526,2014-12-05T18:48:19.000+0000,2022-01-05T18:03:06.000+0000,Apache,5323,222,0.241
AAR,9107,57,2016-04-27T12:14:53.000+0000,2022-01-05T23:04:24.000+0000,Apache,0,0,
JBPM,9084,7361,2004-11-23T04:07:55.000+0000,2022-01-04T09:59:26.000+0000,RedHat,6809,150,0.264
CXF,8531,8083,2006-06-27T03:56:52.000+0000,2022-01-04T15:11:30.000+0000,Apache,6586,54,0.488
QPID,8465,7809,2006-09-18T09:57:49.000+0000,2021-12-09T09:00:40.000+0000,Apache,5832,48,0.211
JBAS,8394,8094,2001-04-06T03:49:30.000+0000,2020-03-24T01:38:51.000+0000,RedHat,7062,143,0.319
